Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] would not give the paperwork to the auditor UsedFor [GEN],diana,money,to do something else
[Name] would not give the paperwork to the auditor isAfter [GEN],Diana would not give the paperwork to the auditor,PersonX gets a job offer,PersonX is asked by the auditor
[Name] would not give the paperwork to the auditor isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] would not give the paperwork to the auditor isFilledBy [GEN],office,auditor,office
[Name] would not give the paperwork to the auditor oEffect [GEN],gets fired,gets fired,PersonY gets fired
[Name] would not give the paperwork to the auditor oReact [GEN],disappointed,disappointed,disappointed
[Name] would not give the paperwork to the auditor oWant [GEN],to get the paperwork,to get the paperwork,to get the paperwork
[Name] would not give the paperwork to the auditor xAttr [GEN],irresponsible,selfish,irresponsible
[Name] would not give the paperwork to the auditor xEffect [GEN],gets fired,gets fired,gets fired
[Name] would not give the paperwork to the auditor xIntent [GEN],to hide something,to hide something,to hide something
[Name] would not give the paperwork to the auditor xNeed [GEN],have paperwork,have documents,to have the documents
[Name] would not give the paperwork to the auditor xReact [GEN],relieved,relieved,guilty
[Name] would not give the paperwork to the auditor xReason [GEN],Diana would not give the paperwork to the auditor,the auditorium is closed,they don't have the paperwork
[Name] would not give the paperwork to the auditor xWant [GEN],to go home,to hide something,to go home
[Name] demanded an apology from the teacher AtLocation [GEN],class,school,school
[Name] demanded an apology from the teacher CapableOf [GEN],say sorry,demand forgiveness,listen to teacher
[Name] demanded an apology from the teacher Causes [GEN],rejection,rejection,rejection
[Name] demanded an apology from the teacher CausesDesire [GEN],teacher,teacher,to the teacher
[Name] demanded an apology from the teacher CreatedBy [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher DefinedAs [GEN],teacher,teacher,to the teacher
[Name] demanded an apology from the teacher DesireOf [GEN],teacher,teacher,the teacher
[Name] demanded an apology from the teacher Desires [GEN],revenge,revenge,an apology
[Name] demanded an apology from the teacher HasA [GEN],teacher,teacher,teacher
[Name] demanded an apology from the teacher HasFirstSubevent [GEN],teacher,teacher,to the teacher
[Name] demanded an apology from the teacher HasLastSubevent [GEN],teacher,teacher,to the teacher
[Name] demanded an apology from the teacher HasPainCharacter [GEN],teacher,teacher,the teacher
[Name] demanded an apology from the teacher HasPainIntensity [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher HasPrerequisite [GEN],teacher,teacher,to the teacher
[Name] demanded an apology from the teacher HasProperty [GEN],nervous,kids,upset
[Name] demanded an apology from the teacher HasSubEvent [GEN],cry,listen to teacher,gets yelled at
[Name] demanded an apology from the teacher HasSubevent [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher HinderedBy [GEN],PersonX's teacher is on vacation.,PersonX is too stubborn.,PersonX is too timid.
[Name] demanded an apology from the teacher InheritsFrom [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher InstanceOf [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher IsA [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher LocatedNear [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher LocationOfAction [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher MadeOf [GEN],teacher,teacher,to say sorry
[Name] demanded an apology from the teacher MadeUpOf [GEN],note,student,student
[Name] demanded an apology from the teacher MotivatedByGoal [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher NotCapableOf [GEN],teacher,teacher,to say sorry
[Name] demanded an apology from the teacher NotDesires [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher NotHasA [GEN],teacher,teacher,to say sorry
[Name] demanded an apology from the teacher NotHasProperty [GEN],teacher,teacher,the teacher
[Name] demanded an apology from the teacher NotIsA [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher NotMadeOf [GEN],teacher,teacher,to say sorry
[Name] demanded an apology from the teacher ObjectUse [GEN],give to the teacher,give to the teacher,apologize to the teacher
[Name] demanded an apology from the teacher PartOf [GEN],teacher,teacher,to say sorry
[Name] demanded an apology from the teacher ReceivesAction [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher RelatedTo [GEN],teacher,teacher,to the teacher
[Name] demanded an apology from the teacher SymbolOf [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher UsedFor [GEN],teacher,teacher,to apologize
[Name] demanded an apology from the teacher isAfter [GEN],PersonX tells a story,PersonX yells at the teacher,PersonX gets in trouble
[Name] demanded an apology from the teacher isBefore [GEN],PersonX apologizes to the teacher,PersonX apologizes to the teacher,PersonX apologizes to the teacher
[Name] demanded an apology from the teacher isFilledBy [GEN],student,student,student
[Name] demanded an apology from the teacher oEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] demanded an apology from the teacher oReact [GEN],sad,sad,ashamed
[Name] demanded an apology from the teacher oWant [GEN],to apologize,to apologize,to apologize
[Name] demanded an apology from the teacher xAttr [GEN],upset,mean,mean
[Name] demanded an apology from the teacher xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] demanded an apology from the teacher xIntent [GEN],to be forgiven,to be nice,to be heard
[Name] demanded an apology from the teacher xNeed [GEN],do something wrong,do something wrong,to be in class
[Name] demanded an apology from the teacher xReact [GEN],relieved,relieved,relieved
[Name] demanded an apology from the teacher xReason [GEN],the teacher did something wrong,the teacher did something wrong,the teacher did something wrong
[Name] demanded an apology from the teacher xWant [GEN],to cry,to apologize,to apologize
[Name] wrote a letter to the writer AtLocation [GEN],mail box,mail box,mail box
[Name] wrote a letter to the writer CapableOf [GEN],write letter,write letter,write letter
[Name] wrote a letter to the writer Causes [GEN],write a letter,mail,to write another letter
[Name] wrote a letter to the writer CausesDesire [GEN],letter,letter,write a letter
[Name] wrote a letter to the writer CreatedBy [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer DefinedAs [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer DesireOf [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer Desires [GEN],write a letter,write letter,to communicate
[Name] wrote a letter to the writer HasA [GEN],write letter,letter,to send the letter
[Name] wrote a letter to the writer HasFirstSubevent [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer HasLastSubevent [GEN],letter,letter,to tell the writer
[Name] wrote a letter to the writer HasPainCharacter [GEN],letter,letter,send letter
[Name] wrote a letter to the writer HasPainIntensity [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer HasPrerequisite [GEN],letter,letter,to write a letter
[Name] wrote a letter to the writer HasProperty [GEN],letter,letter,happy
[Name] wrote a letter to the writer HasSubEvent [GEN],write letter,write letter,reads letter
[Name] wrote a letter to the writer HasSubevent [GEN],letter,letter,write a letter
[Name] wrote a letter to the writer HinderedBy [GEN],PersonX doesn't have a pen.,PersonX doesn't have a pen.,PersonX doesn't have a pen.
[Name] wrote a letter to the writer InheritsFrom [GEN],,letter,to send the letter
[Name] wrote a letter to the writer InstanceOf [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer IsA [GEN],write letter,letter,write a letter
[Name] wrote a letter to the writer LocatedNear [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer LocationOfAction [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer MadeOf [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer MadeUpOf [GEN],letter,letter,letter
[Name] wrote a letter to the writer MotivatedByGoal [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer NotCapableOf [GEN],,letter,to send the letter
[Name] wrote a letter to the writer NotDesires [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer NotHasA [GEN],,letter,to send the letter
[Name] wrote a letter to the writer NotHasProperty [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer NotIsA [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer NotMadeOf [GEN],,letter,to send the letter
[Name] wrote a letter to the writer ObjectUse [GEN],write a letter,write a letter,write a letter
[Name] wrote a letter to the writer PartOf [GEN],letter,letter,to send the letter
[Name] wrote a letter to the writer ReceivesAction [GEN],write letter,letter,to send the letter
[Name] wrote a letter to the writer RelatedTo [GEN],,letter,to send the letter
[Name] wrote a letter to the writer SymbolOf [GEN],,letter,to send the letter
[Name] wrote a letter to the writer UsedFor [GEN],letter,letter,write a letter
[Name] wrote a letter to the writer isAfter [GEN],PersonX writes a letter,PersonX writes a letter,PersonX writes a letter
[Name] wrote a letter to the writer isBefore [GEN],PersonX opens the letter,PersonX writes a letter to the writer,PersonX waits for a response
[Name] wrote a letter to the writer isFilledBy [GEN],a letter,a letter,a letter
[Name] wrote a letter to the writer oEffect [GEN],reads letter,reads letter,reads letter
[Name] wrote a letter to the writer oReact [GEN],interested,happy,interested
[Name] wrote a letter to the writer oWant [GEN],to read the letter,read letter,to read the letter
[Name] wrote a letter to the writer xAttr [GEN],thoughtful,thoughtful,thoughtful
[Name] wrote a letter to the writer xEffect [GEN],reads letter,reads letter,reads letter
[Name] wrote a letter to the writer xIntent [GEN],to communicate,to communicate,to communicate
[Name] wrote a letter to the writer xNeed [GEN],write letter,get paper,paper
[Name] wrote a letter to the writer xReact [GEN],happy,happy,happy
[Name] wrote a letter to the writer xReason [GEN],they want to communicate,they want to communicate,to write a letter
[Name] wrote a letter to the writer xWant [GEN],write another letter,send letter,to send the letter
[Name] talked to the clerk AtLocation [GEN],store,store,store
[Name] talked to the clerk CapableOf [GEN],page clerk,page clerk,page clerk
[Name] talked to the clerk Causes [GEN],receive information,complain,to get a refund
[Name] talked to the clerk CausesDesire [GEN],clerk,the clerk,to ask the clerk questions
[Name] talked to the clerk CreatedBy [GEN],clerk,store,to ask the clerk questions
[Name] talked to the clerk DefinedAs [GEN],clerk,store,to ask the clerk questions
[Name] talked to the clerk DesireOf [GEN],clerk,clerk,to ask the clerk questions
[Name] talked to the clerk Desires [GEN],information,information,information
[Name] talked to the clerk HasA [GEN],clerk,the clerk,the clerk
[Name] talked to the clerk HasFirstSubevent [GEN],clerk,the clerk,the clerk
